question_id,fex,ex,execution_time,total_tokens,tokens_per_subquery,total_subqueries,correct_subqueries,example_count,repair_attempts,repair_successes,repair_success_rate,query_planner_tokens,sparql_generator_tokens,query_repairer_tokens,subquery_scheduler_tokens,evaluation_mode,sq1_ex,sq2_ex,sq3_ex,sq3_similarity,sq4_ex
1,0,0.3333333333333333,53.531189918518066,579,193.0,3,1,0,0,0,0,80,259,0,240,mixed_evaluation_third_query_count_based,1,0,0,0.0,
2,1,1.0,45.012046098709106,698,232.66666666666666,3,3,0,0,0,0,98,321,0,279,mixed_evaluation_third_query_count_based,1,1,1,1.0,
3,0,0.3333333333333333,91.97939777374268,704,234.66666666666666,3,1,0,0,0,0,95,325,0,284,mixed_evaluation_third_query_count_based,1,0,0,0.0,
4,0,0.6666666666666666,48.470072984695435,731,243.66666666666666,3,2,0,0,0,0,88,339,0,304,mixed_evaluation_third_query_count_based,0,1,1,1.0,
5,0,0.6666666666666666,45.13951802253723,719,239.66666666666666,3,2,0,0,0,0,101,327,0,291,mixed_evaluation_third_query_count_based,1,0,1,1.0,
6,0,0.3333333333333333,55.80564832687378,712,237.33333333333334,3,1,0,0,0,0,90,331,0,291,mixed_evaluation_third_query_count_based,1,0,0,0.0,
7,0,0.6666666666666666,59.13943815231323,814,271.3333333333333,3,2,0,0,0,0,105,376,0,333,mixed_evaluation_third_query_count_based,1,0,1,1.0,
8,0,0.6666666666666666,85.51486897468567,783,261.0,3,2,0,0,0,0,113,356,0,314,mixed_evaluation_third_query_count_based,1,0,1,1.0,
9,0,0.6666666666666666,57.82080698013306,795,265.0,3,2,0,0,0,0,113,362,0,320,mixed_evaluation_third_query_count_based,1,0,1,1.0,
10,0,0.6666666666666666,86.17270708084106,818,272.6666666666667,3,2,0,0,0,0,113,374,0,331,mixed_evaluation_third_query_count_based,1,0,1,1.0,
11,0,0.6666666666666666,71.74266028404236,816,272.0,3,2,0,0,0,0,106,376,0,334,mixed_evaluation_third_query_count_based,1,0,1,1.0,
12,0,0.6666666666666666,56.37980580329895,789,263.0,3,2,0,0,0,0,115,358,0,316,mixed_evaluation_third_query_count_based,1,0,1,1.0,
13,0,0.6666666666666666,52.74949812889099,816,272.0,3,2,0,0,0,0,106,376,0,334,mixed_evaluation_third_query_count_based,1,0,1,1.0,
14,0,0.6666666666666666,60.01646280288696,839,279.6666666666667,3,2,0,0,0,0,114,384,0,341,mixed_evaluation_third_query_count_based,1,0,1,1.0,
15,0,0.6666666666666666,103.45119309425354,839,279.6666666666667,3,2,0,0,0,0,114,384,0,341,mixed_evaluation_third_query_count_based,1,0,1,1.0,
16,0,0.6666666666666666,103.81160187721252,819,273.0,3,2,0,0,0,0,115,373,0,331,mixed_evaluation_third_query_count_based,1,0,1,1.0,
17,0,0.6666666666666666,65.4005799293518,786,262.0,3,2,0,0,0,0,114,357,0,315,mixed_evaluation_third_query_count_based,1,0,1,1.0,
18,0,0.6666666666666666,79.79469084739685,816,272.0,3,2,0,0,0,0,106,376,0,334,mixed_evaluation_third_query_count_based,1,0,1,1.0,
19,0,0.6666666666666666,64.9302589893341,813,271.0,3,2,0,0,0,0,113,371,0,329,mixed_evaluation_third_query_count_based,1,0,1,1.0,
20,0,0.6666666666666666,60.13361477851868,816,272.0,3,2,0,0,0,0,106,376,0,334,mixed_evaluation_third_query_count_based,1,0,1,1.0,
21,0,0.6666666666666666,72.82914209365845,836,278.6666666666667,3,2,0,0,0,0,113,383,0,340,mixed_evaluation_third_query_count_based,1,0,1,1.0,
22,0,0.6666666666666666,66.20499610900879,786,262.0,3,2,0,0,0,0,114,357,0,315,mixed_evaluation_third_query_count_based,1,0,1,1.0,
23,0,0.6666666666666666,86.94339370727539,816,272.0,3,2,0,0,0,0,106,376,0,334,mixed_evaluation_third_query_count_based,1,0,1,1.0,
24,0,0.6666666666666666,71.57286500930786,816,272.0,3,2,0,0,0,0,106,376,0,334,mixed_evaluation_third_query_count_based,1,0,1,1.0,
25,0,0.6666666666666666,88.70628905296326,762,254.0,3,2,0,0,0,0,106,349,0,307,mixed_evaluation_third_query_count_based,1,0,1,1.0,
26,0,0.6666666666666666,56.60575199127197,816,272.0,3,2,0,0,0,0,114,372,0,330,mixed_evaluation_third_query_count_based,1,0,1,1.0,
27,1,1.0,76.38107967376709,799,266.3333333333333,3,3,0,0,0,0,106,368,0,325,mixed_evaluation_third_query_count_based,1,1,1,1.0,
28,1,1.0,78.63177013397217,801,267.0,3,3,0,0,0,0,106,370,0,325,mixed_evaluation_third_query_count_based,1,1,1,1.0,
29,1,1.0,87.39764618873596,747,249.0,3,3,0,0,0,0,106,343,0,298,mixed_evaluation_third_query_count_based,1,1,1,1.0,
30,0,0.6666666666666666,68.05834293365479,818,272.6666666666667,3,2,0,0,0,0,106,378,0,334,mixed_evaluation_third_query_count_based,1,0,1,1.0,
31,0,0.6666666666666666,87.77730202674866,764,254.66666666666666,3,2,0,0,0,0,106,351,0,307,mixed_evaluation_third_query_count_based,1,0,1,1.0,
32,1,1.0,63.2574508190155,801,267.0,3,3,0,0,0,0,106,370,0,325,mixed_evaluation_third_query_count_based,1,1,1,1.0,
33,0,0.6666666666666666,59.144827127456665,818,272.6666666666667,3,2,0,0,0,0,106,378,0,334,mixed_evaluation_third_query_count_based,1,0,1,1.0,
34,0,0.6666666666666666,61.94887924194336,824,274.6666666666667,3,2,0,0,0,0,106,381,0,337,mixed_evaluation_third_query_count_based,1,0,1,1.0,
35,0,0.6666666666666666,61.184139013290405,818,272.6666666666667,3,2,0,0,0,0,106,378,0,334,mixed_evaluation_third_query_count_based,1,0,1,1.0,
