question_id,fex,ex,execution_time,total_tokens,tokens_per_subquery,total_subqueries,correct_subqueries,example_count,repair_attempts,repair_successes,repair_success_rate,query_planner_tokens,sparql_generator_tokens,query_repairer_tokens,subquery_scheduler_tokens,evaluation_mode,sq1_ex,sq2_ex,sq3_ex,sq3_similarity,sq4_ex
7,1,1.0,53.513948917388916,893,223.25,4,4,5,0,0,0,122,416,0,355,mixed_evaluation_third_query_count_based,1,1,1,1.0,1
8,1,1.0,57.90513801574707,898,224.5,4,4,5,0,0,0,124,419,0,355,mixed_evaluation_third_query_count_based,1,1,1,1.0,1
9,1,1.0,68.6667582988739,898,224.5,4,4,5,0,0,0,124,419,0,355,mixed_evaluation_third_query_count_based,1,1,1,1.0,1
10,1,1.0,47.31007695198059,723,241.0,3,3,5,0,0,0,102,331,0,290,mixed_evaluation_third_query_count_based,1,1,1,1.0,
11,1,1.0,63.35845994949341,898,224.5,4,4,5,0,0,0,124,419,0,355,mixed_evaluation_third_query_count_based,1,1,1,1.0,1
12,1,1.0,61.05671405792236,723,241.0,3,3,5,0,0,0,102,331,0,290,mixed_evaluation_third_query_count_based,1,1,1,1.0,
13,1,1.0,59.597350120544434,898,224.5,4,4,5,0,0,0,124,419,0,355,mixed_evaluation_third_query_count_based,1,1,1,1.0,1
14,1,1.0,66.14145112037659,898,224.5,4,4,5,0,0,0,124,419,0,355,mixed_evaluation_third_query_count_based,1,1,1,1.0,1
15,1,1.0,64.63828992843628,898,224.5,4,4,5,0,0,0,124,419,0,355,mixed_evaluation_third_query_count_based,1,1,1,1.0,1
16,1,1.0,57.83453297615051,898,224.5,4,4,5,0,0,0,124,419,0,355,mixed_evaluation_third_query_count_based,1,1,1,1.0,1
17,1,1.0,59.80759382247925,898,224.5,4,4,5,0,0,0,124,419,0,355,mixed_evaluation_third_query_count_based,1,1,1,1.0,1
18,1,1.0,53.58714294433594,723,241.0,3,3,5,0,0,0,102,331,0,290,mixed_evaluation_third_query_count_based,1,1,1,1.0,
19,1,1.0,65.6067247390747,898,224.5,4,4,5,0,0,0,124,419,0,355,mixed_evaluation_third_query_count_based,1,1,1,1.0,1
20,1,1.0,61.9479820728302,898,224.5,4,4,5,0,0,0,124,419,0,355,mixed_evaluation_third_query_count_based,1,1,1,1.0,1
21,1,1.0,71.48528790473938,723,241.0,3,3,5,0,0,0,102,331,0,290,mixed_evaluation_third_query_count_based,1,1,1,1.0,
22,1,1.0,60.70688772201538,898,224.5,4,4,5,0,0,0,124,419,0,355,mixed_evaluation_third_query_count_based,1,1,1,1.0,1
23,1,1.0,55.3030161857605,898,224.5,4,4,5,0,0,0,124,419,0,355,mixed_evaluation_third_query_count_based,1,1,1,1.0,1
24,1,1.0,59.39488506317139,898,224.5,4,4,5,0,0,0,124,419,0,355,mixed_evaluation_third_query_count_based,1,1,1,1.0,1
25,1,1.0,61.93545603752136,898,224.5,4,4,5,0,0,0,124,419,0,355,mixed_evaluation_third_query_count_based,1,1,1,1.0,1
26,1,1.0,63.285887002944946,898,224.5,4,4,5,0,0,0,124,419,0,355,mixed_evaluation_third_query_count_based,1,1,1,1.0,1
27,1,1.0,52.52389216423035,723,241.0,3,3,5,0,0,0,102,331,0,290,mixed_evaluation_third_query_count_based,1,1,1,1.0,
28,1,1.0,48.039124965667725,724,241.33333333333334,3,3,5,0,0,0,102,331,0,291,mixed_evaluation_third_query_count_based,1,1,1,1.0,
29,1,1.0,49.05051589012146,724,241.33333333333334,3,3,5,0,0,0,102,331,0,291,mixed_evaluation_third_query_count_based,1,1,1,1.0,
30,1,1.0,61.27384090423584,899,224.75,4,4,5,0,0,0,124,419,0,356,mixed_evaluation_third_query_count_based,1,1,1,1.0,1
