question_id,fex,ex,execution_time,total_tokens,tokens_per_subquery,total_subqueries,correct_subqueries,example_count,repair_attempts,repair_successes,repair_success_rate,query_planner_tokens,sparql_generator_tokens,query_repairer_tokens,subquery_scheduler_tokens,evaluation_mode,sq1_ex,sq2_ex
1,0,0.5,26.605474948883057,468,234.0,2,1,5,0,0,0,73,211,0,184,mixed_evaluation_third_query_count_based,0,1
2,0,0.5,24.97752285003662,468,234.0,2,1,5,0,0,0,73,211,0,184,mixed_evaluation_third_query_count_based,0,1
3,0,0.5,26.482056856155396,465,232.5,2,1,5,0,0,0,72,209,0,184,mixed_evaluation_third_query_count_based,0,1
4,0,0.5,26.458740949630737,468,234.0,2,1,5,0,0,0,73,211,0,184,mixed_evaluation_third_query_count_based,0,1
5,0,0.5,28.260128021240234,465,232.5,2,1,5,0,0,0,72,209,0,184,mixed_evaluation_third_query_count_based,0,1
6,0,0.5,27.343959093093872,471,235.5,2,1,5,0,0,0,74,212,0,185,mixed_evaluation_third_query_count_based,0,1
7,0,0.5,28.376208066940308,468,234.0,2,1,5,0,0,0,73,211,0,184,mixed_evaluation_third_query_count_based,0,1
8,0,0.0,27.53321599960327,458,229.0,2,0,5,0,0,0,61,208,0,189,mixed_evaluation_third_query_count_based,0,0
9,0,0.0,27.545557022094727,457,228.5,2,0,5,0,0,0,61,207,0,189,mixed_evaluation_third_query_count_based,0,0
10,0,0.0,28.76851511001587,458,229.0,2,0,5,0,0,0,61,208,0,189,mixed_evaluation_third_query_count_based,0,0
11,0,0.0,28.471922159194946,457,228.5,2,0,5,0,0,0,61,207,0,189,mixed_evaluation_third_query_count_based,0,0
12,0,0.0,29.16941213607788,466,233.0,2,0,5,0,0,0,64,211,0,191,mixed_evaluation_third_query_count_based,0,0
13,0,0.0,30.016937017440796,455,227.5,2,0,5,0,0,0,61,206,0,188,mixed_evaluation_third_query_count_based,0,0
14,0,0.0,27.955045223236084,458,229.0,2,0,5,0,0,0,61,208,0,189,mixed_evaluation_third_query_count_based,0,0
15,0,0.0,28.636291027069092,467,233.5,2,0,5,0,0,0,63,212,0,192,mixed_evaluation_third_query_count_based,0,0
16,0,0.0,27.274555921554565,464,232.0,2,0,5,0,0,0,63,210,0,191,mixed_evaluation_third_query_count_based,0,0
17,0,0.0,28.46794080734253,461,230.5,2,0,5,0,0,0,62,209,0,190,mixed_evaluation_third_query_count_based,0,0
18,0,0.0,28.70681381225586,468,234.0,2,0,5,0,0,0,64,212,0,192,mixed_evaluation_third_query_count_based,0,0
19,0,0.0,26.75954794883728,455,227.5,2,0,5,0,0,0,61,206,0,188,mixed_evaluation_third_query_count_based,0,0
20,0,0.0,28.60041904449463,461,230.5,2,0,5,0,0,0,62,209,0,190,mixed_evaluation_third_query_count_based,0,0
21,0,0.0,28.571358919143677,466,233.0,2,0,5,0,0,0,63,212,0,191,mixed_evaluation_third_query_count_based,0,0
22,0,0.0,37.5941698551178,527,263.5,2,0,5,0,0,0,63,242,0,222,mixed_evaluation_third_query_count_based,0,0
23,0,0.0,26.294710874557495,458,229.0,2,0,5,0,0,0,61,208,0,189,mixed_evaluation_third_query_count_based,0,0
24,0,0.0,26.826515913009644,452,226.0,2,0,5,0,0,0,59,205,0,188,mixed_evaluation_third_query_count_based,0,0
25,0,0.0,27.546459913253784,464,232.0,2,0,5,0,0,0,63,210,0,191,mixed_evaluation_third_query_count_based,0,0
26,0,0.0,27.24112820625305,457,228.5,2,0,5,0,0,0,61,207,0,189,mixed_evaluation_third_query_count_based,0,0
27,0,0.0,27.744381189346313,459,229.5,2,0,5,0,0,0,62,208,0,189,mixed_evaluation_third_query_count_based,0,0
28,0,0.0,28.160694122314453,468,234.0,2,0,5,0,0,0,64,212,0,192,mixed_evaluation_third_query_count_based,0,0
29,0,0.0,28.055700063705444,467,233.5,2,0,5,0,0,0,64,212,0,191,mixed_evaluation_third_query_count_based,0,0
30,0,0.0,27.95613384246826,455,227.5,2,0,5,0,0,0,61,206,0,188,mixed_evaluation_third_query_count_based,0,0
