question_id,fex,ex,execution_time,total_tokens,tokens_per_subquery,total_subqueries,correct_subqueries,example_count,repair_attempts,repair_successes,repair_success_rate,query_planner_tokens,sparql_generator_tokens,query_repairer_tokens,subquery_scheduler_tokens,evaluation_mode,sq1_ex,sq2_ex,sq3_ex,sq3_similarity
60,0,0.5,34.22573685646057,467,233.5,2,1,5,0,0,0,56,216,0,195,mixed_evaluation_third_query_count_based,1,0,,
61,0,0.5,34.29150700569153,467,233.5,2,1,5,0,0,0,56,216,0,195,mixed_evaluation_third_query_count_based,1,0,,
62,0,0.5,41.26882815361023,467,233.5,2,1,5,0,0,0,56,216,0,195,mixed_evaluation_third_query_count_based,1,0,,
63,0,0.5,58.2642879486084,467,233.5,2,1,5,0,0,0,56,216,0,195,mixed_evaluation_third_query_count_based,1,0,,
64,0,0.5,28.773151874542236,467,233.5,2,1,5,0,0,0,56,216,0,195,mixed_evaluation_third_query_count_based,1,0,,
65,0,0.5,30.16253113746643,467,233.5,2,1,5,0,0,0,56,216,0,195,mixed_evaluation_third_query_count_based,1,0,,
66,0,0.5,47.15246629714966,467,233.5,2,1,5,0,0,0,56,216,0,195,mixed_evaluation_third_query_count_based,1,0,,
67,0,0.5,52.22457814216614,467,233.5,2,1,5,0,0,0,56,216,0,195,mixed_evaluation_third_query_count_based,1,0,,
68,0,0.5,43.207664012908936,467,233.5,2,1,5,0,0,0,56,216,0,195,mixed_evaluation_third_query_count_based,1,0,,
69,0,0.5,45.26049280166626,467,233.5,2,1,5,0,0,0,56,216,0,195,mixed_evaluation_third_query_count_based,1,0,,
70,0,0.5,32.87017869949341,467,233.5,2,1,5,0,0,0,56,216,0,195,mixed_evaluation_third_query_count_based,1,0,,
71,0,0.5,42.92503809928894,467,233.5,2,1,5,0,0,0,56,216,0,195,mixed_evaluation_third_query_count_based,1,0,,
72,0,0.5,48.92710208892822,467,233.5,2,1,5,0,0,0,56,216,0,195,mixed_evaluation_third_query_count_based,1,0,,
73,0,0.5,44.9524359703064,467,233.5,2,1,5,0,0,0,56,216,0,195,mixed_evaluation_third_query_count_based,1,0,,
74,0,0.5,42.493746757507324,462,231.0,2,1,5,0,0,0,56,214,0,192,mixed_evaluation_third_query_count_based,1,0,,
75,0,0.5,41.474220991134644,464,232.0,2,1,5,0,0,0,57,214,0,193,mixed_evaluation_third_query_count_based,1,0,,
76,0,0.5,30.77274799346924,464,232.0,2,1,5,0,0,0,57,214,0,193,mixed_evaluation_third_query_count_based,1,0,,
77,0,0.5,39.420366048812866,469,234.5,2,1,5,0,0,0,57,216,0,196,mixed_evaluation_third_query_count_based,1,0,,
78,0,0.5,42.18701195716858,469,234.5,2,1,5,0,0,0,57,216,0,196,mixed_evaluation_third_query_count_based,1,0,,
79,0,0.5,39.834052085876465,469,234.5,2,1,5,0,0,0,57,216,0,196,mixed_evaluation_third_query_count_based,1,0,,
80,0,0.5,48.02453279495239,464,232.0,2,1,5,0,0,0,57,214,0,193,mixed_evaluation_third_query_count_based,1,0,,
81,0,0.6666666666666666,60.036680936813354,617,205.66666666666666,3,2,5,0,0,0,80,288,0,249,mixed_evaluation_third_query_count_based,1,0,1,
82,0,0.6666666666666666,61.93675494194031,625,208.33333333333334,3,2,5,0,0,0,82,292,0,251,mixed_evaluation_third_query_count_based,1,0,1,
83,0,0.6666666666666666,66.89018821716309,625,208.33333333333334,3,2,5,0,0,0,82,292,0,251,mixed_evaluation_third_query_count_based,1,0,1,
84,0,0.6666666666666666,73.57474517822266,625,208.33333333333334,3,2,5,0,0,0,82,292,0,251,mixed_evaluation_third_query_count_based,1,0,1,
85,0,0.6666666666666666,67.83639192581177,625,208.33333333333334,3,2,5,0,0,0,82,292,0,251,mixed_evaluation_third_query_count_based,1,0,1,
86,0,0.6666666666666666,44.36087083816528,625,208.33333333333334,3,2,5,0,0,0,82,292,0,251,mixed_evaluation_third_query_count_based,1,0,1,
87,0,0.6666666666666666,72.15091609954834,625,208.33333333333334,3,2,5,0,0,0,82,292,0,251,mixed_evaluation_third_query_count_based,1,0,1,
88,0,0.6666666666666666,59.79632902145386,625,208.33333333333334,3,2,5,0,0,0,82,292,0,251,mixed_evaluation_third_query_count_based,1,0,1,
89,0,0.6666666666666666,74.65917682647705,625,208.33333333333334,3,2,5,0,0,0,82,292,0,251,mixed_evaluation_third_query_count_based,1,0,1,
90,0,0.6666666666666666,59.68849205970764,625,208.33333333333334,3,2,5,0,0,0,82,292,0,251,mixed_evaluation_third_query_count_based,1,0,1,
91,0,0.6666666666666666,57.848506927490234,625,208.33333333333334,3,2,5,0,0,0,82,292,0,251,mixed_evaluation_third_query_count_based,1,0,1,
92,0,0.6666666666666666,65.4513931274414,625,208.33333333333334,3,2,5,0,0,0,82,292,0,251,mixed_evaluation_third_query_count_based,1,0,1,
93,0,0.6666666666666666,73.8285219669342,625,208.33333333333334,3,2,5,0,0,0,82,292,0,251,mixed_evaluation_third_query_count_based,1,0,1,
94,0,0.6666666666666666,77.81171417236328,625,208.33333333333334,3,2,5,0,0,0,82,292,0,251,mixed_evaluation_third_query_count_based,1,0,1,
95,0,0.6666666666666666,76.58994507789612,625,208.33333333333334,3,2,5,0,0,0,82,292,0,251,mixed_evaluation_third_query_count_based,1,0,1,
96,0,0.6666666666666666,58.9728000164032,625,208.33333333333334,3,2,5,0,0,0,82,292,0,251,mixed_evaluation_third_query_count_based,1,0,1,
97,0,0.6666666666666666,73.22018814086914,625,208.33333333333334,3,2,5,0,0,0,82,292,0,251,mixed_evaluation_third_query_count_based,1,0,1,
98,0,0.6666666666666666,63.29476499557495,625,208.33333333333334,3,2,5,0,0,0,82,292,0,251,mixed_evaluation_third_query_count_based,1,0,1,
99,0,0.6666666666666666,61.432429790496826,625,208.33333333333334,3,2,5,0,0,0,82,292,0,251,mixed_evaluation_third_query_count_based,1,0,1,
100,0,0.6666666666666666,63.06838083267212,625,208.33333333333334,3,2,5,0,0,0,82,292,0,251,mixed_evaluation_third_query_count_based,1,0,1,
101,0,0.6666666666666666,57.35166692733765,625,208.33333333333334,3,2,5,0,0,0,82,292,0,251,mixed_evaluation_third_query_count_based,1,0,1,
